Level5	modify5	modify4	modify3	modify2	modify1	modify_5	modify_4	modify_3	modify_2	modify_1
168	LV_Frontal_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Frontal_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
169	LV_body_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_body_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
170	LV_atrium_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_atrium_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
171	LV_Occipital_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Occipital_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
172	LV_Inferior_R	InferiorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Inferior_R	InferiorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
173	III_ventricle	III_ventricle	III_ventricle	Ventricle	CSF	III_ventricle	III_ventricle	III_ventricle	Ventricle	CSF
174	PVWa_L	PVWa_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	PVWa_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Hemisphere_L
175	PVWa_R	PVWa_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	PVWa_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Hemisphere_R
176	PVWp_L	PVWp_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PVWp_L	post_DPWM_L	PosteriorWM_L	WhiteMatter_L	Hemisphere_L
177	PVWp_R	PVWp_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PVWp_R	post_DPWM_R	PosteriorWM_R	WhiteMatter_R	Hemisphere_R
178	SFWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
179	SFWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
180	SFWM_PFC_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_PFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
181	SFWM_PFC_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_PFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
182	SFWM_pole_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_pole_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
183	SFWM_pole_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_pole_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
184	MFWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
185	MFWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
186	MFWM_DPFC_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MF_DPFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
187	MFWM_DPFC_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MF_DPFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
188	IFWM_opercularis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_opercularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
189	IFWM_opercularis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_opercularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
190	IFWM_orbitalis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_orbitalis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
191	IFWM_orbitalis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_orbitalis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
192	IFWM_triangularis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_triangularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
193	IFWM_triangularis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_triangularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
194	LFOWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	LFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
195	LFOWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	LFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
196	MFOWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
197	MFOWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
198	RGWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	R_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
199	RGWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	R_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
200	PoCWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PoC_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
201	PoCWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PoC_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
202	PrCWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	PrC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
203	PrCWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	PrC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
204	SPWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SP_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
205	SPWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SP_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
206	SMWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SM_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
207	SMWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SM_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
208	AGWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	A_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
209	AGWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	A_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
210	PrCuWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PrCu_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
211	PrCuWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PrCu_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
212	STWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	ST_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
213	STWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	ST_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
214	STWM_pole_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	ST_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
215	STWM_pole_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	ST_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
216	MTWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	MT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
217	MTWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	MT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
218	MTWM_pole_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	MT_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
219	MTWM_pole_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	MT_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
220	ITWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	IT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
221	ITWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	IT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
222	FuWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	Fu_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
223	FuWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	Fu_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
224	SOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
225	SOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
226	MOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	MO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
227	MOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	MO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
228	IOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	IO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
229	IOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	IO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
230	CuWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	Cu_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
231	CuWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	Cu_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
232	LGWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	LG_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
233	LGWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	LG_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
234	rostralWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	rostral_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
235	rostralWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	rostral_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
236	subcallosalWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	subcallosal_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
237	subcallosalWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	subcallosal_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
238	subgenualWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	subgenual_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
239	subgenualWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	subgenual_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
240	dorsalWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	dorsal_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
241	dorsalWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	dorsal_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
242	PCCWM_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	PCC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
243	PCCWM_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	PCC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
244	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
245	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum
246	MCP_cb_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum
247	MCP_cb_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
248	ICP_cb_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum
249	ICP_cb_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
250	FrontSul_L	FrontSul_L	FrontSul_L	Sulcus_L	CSF	FrontSul_L	FrontSul_L	FrontSul_L	Sulcus_L	CSF
251	FrontSul_R	FrontSul_R	FrontSul_R	Sulcus_R	CSF	FrontSul_R	FrontSul_R	FrontSul_R	Sulcus_R	CSF
252	CentralSul_L	CentralSul_L	CentralSul_L	Sulcus_L	CSF	CentralSul_L	CentralSul_L	CentralSul_L	Sulcus_L	CSF
253	CentralSul_R	CentralSul_R	CentralSul_R	Sulcus_R	CSF	CentralSul_R	CentralSul_R	CentralSul_R	Sulcus_R	CSF
254	SylFrontSul_L	SylFrontSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylAntInsularSul_L	SylAntInsularSul_L	FrontSul_L	Sulcus_L	CSF
255	SylFrontSul_R	SylFrontSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylAntInsularSul_R	SylAntInsularSul_R	FrontSul_R	Sulcus_R	CSF
256	SylTempSul_L	SylTempSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylPostInsularSul_L	SylPostInsularSul_L	TempSul_L	Sulcus_L	CSF
257	SylTempSul_R	SylTempSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylPostInsularSul_R	SylPostInsularSul_R	TempSul_R	Sulcus_R	CSF
258	SylParieSul_L	SylParieSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylExtSMG_L	SylExtSMG_L	ParietSul_L	Sulcus_L	CSF
259	SylParieSul_R	SylParieSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylExtSMG_R	SylExtSMG_R	ParietSul_R	Sulcus_R	CSF
260	ParietSul_L	ParietSul_L	ParietSul_L	Sulcus_L	CSF	ParietSul_L	ParietSul_L	ParietSul_L	Sulcus_L	CSF
261	ParietSul_R	ParietSul_R	ParietSul_R	Sulcus_R	CSF	ParietSul_R	ParietSul_R	ParietSul_R	Sulcus_R	CSF
262	CinguSul_L	CinguSul_L	CinguSul_L	Sulcus_L	CSF	CinguSul_L	CinguSul_L	CinguSul_L	Sulcus_L	CSF
263	CinguSul_R	CinguSul_R	CinguSul_R	Sulcus_R	CSF	CinguSul_R	CinguSul_R	CinguSul_R	Sulcus_R	CSF
264	OcciptSul_L	OcciptSul_L	OcciptSul_L	Sulcus_L	CSF	OcciptSul_L	OcciptSul_L	OcciptSul_L	Sulcus_L	CSF
265	OcciptSul_R	OcciptSul_R	OcciptSul_R	Sulcus_R	CSF	OcciptSul_R	OcciptSul_R	OcciptSul_R	Sulcus_R	CSF
266	TempSul_L	TempSul_L	TempSul_L	Sulcus_L	CSF	TempSul_L	TempSul_L	TempSul_L	Sulcus_L	CSF
267	TempSul_R	TempSul_R	TempSul_R	Sulcus_R	CSF	TempSul_R	TempSul_R	TempSul_R	Sulcus_R	CSF
268	Caudate_tail_L	Caudate_tail_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	Caudate_tail_L	Striatum_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
269	Fimbria_L	Hippo_L	Limbic_L	CerebralCortex_L	Telencephalon_L	Hippo_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
270	Caudate_tail_R	Caudate_tail_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	Caudate_tail_R	Striatum_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
271	Fimbria_R	Hippo_R	Limbic_R	CerebralCortex_R	Telencephalon_R	Hippo_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
272	Chroid_LVetc_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	Chroid_LVetc_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
273	Chroid_LVetc_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	Chroid_LVetc_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
274	IV_ventricle	IV_ventricle	IV_ventricle	Ventricle	CSF	IV_ventricle	IV_ventricle	IV_ventricle	Ventricle	CSF
275	ECCL_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	EC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
276	ECCL_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	EC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
277	ECSAnterior_L	ECSAnterior_L	ECS_L	ECS	CSF	ECSAnterior_L	ECSAnterior_L	ECS_L	ECS	CSF
278	ECSAnterior_R	ECSAnterior_R	ECS_L	ECS	CSF	ECSAnterior_R	ECSAnterior_R	ECS_L	ECS	CSF
279	ECSPosterior_L	ECSPosterior_L	ECS_R	ECS	CSF	ECSPosterior_L	ECSPosterior_L	ECS_R	ECS	CSF
280	ECSPosterior_R	ECSPosterior_R	ECS_R	ECS	CSF	ECSPosterior_R	ECSPosterior_R	ECS_R	ECS	CSF
